Timestamp,907B-C2-LV01-1 kWh,907B-C2-LV01-1 kVARh,Panel MCC/8 kWh,Panel MCC/8 kVARh,Emergency Panel kWh,Emergency Panel kVARh
2025-06-04 15:42:18,5.5294,8.4624,107.2236,85.6248,7.9522,4.2491
2025-06-04 15:42:23,5.5294,8.4624,107.2236,85.6248,7.9522,4.2491
2025-06-04 15:42:28,5.5294,8.4624,107.2236,85.6248,7.9522,4.2491
2025-06-04 15:42:33,5.5294,8.4624,107.2236,85.6248,7.9522,4.2491
2025-06-04 15:42:39,5.5294,8.4624,107.2236,85.6248,7.9522,4.2491
2025-06-04 15:42:44,5.5294,8.4624,107.2236,85.6248,7.9522,4.2491
2025-06-04 15:42:49,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:42:54,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:00,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:05,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:10,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:15,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:20,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:26,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:31,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:36,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:41,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:47,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:52,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:43:57,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:02,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:07,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:13,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:18,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:23,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:28,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:34,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:39,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:44,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:49,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:44:54,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
2025-06-04 15:45:00,5.5294,8.4624,107.2238,85.6248,7.9522,4.2491
